establishment_id,establishment_number,establishment_name,duns_number,street,city,state,zip,phone,grant_date,activities,dbas,district,circuit,size,latitude,longitude,county,fips_code
6166960,M1025+P1025+V1025,5R Custom Meats,,439 Mt. Vernon Rd ,Mt. Vernon,AR,72111,(501) 556-5077,2023-09-05,Meat Processing; Meat Slaughter; Poultry Processing; Voluntary Processing - Meat; Voluntary Slaughter - Meat,,35,3502,Very Small,35.226404787753,-92.092224953454,White County,05145
6168923,M3603+P3603,"Amazing Taste Foods, Inc.",,3800 Progress St ,North Little Rock,AR,72114,(870) 941-9095,2026-02-06,Meat Processing; Poultry Processing,,35,3520,Small,34.757953293043,-92.223706046223,Pulaski County,05119
3868,V3478,Americold Logistics,,300 S. El Mira Avenue ,Russellville,AR,72802,(479) 968-5322,2021-02-10,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3520,N / A,35.274121619423,-93.104828052737,Pope County,05115
100328,V18695,Americold Logistics,,3609 Genoa Road ,Texarkana,AR,71854,(870) 772-0007,2020-05-20,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,40,4027,N / A,33.413753725315,-93.99764549639,Miller County,05091
100774,V3425,Americold Logistics,,1200 Old Missouri Rd ,Springdale,AR,72764,(479) 756-2044,2019-05-30,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3512,N / A,36.194527510644,-94.119070104379,Washington County,05143
6166773,V846,Americold Logistics LLC,,1651 S. Airport Rd. ,West Memphis,AR,72301,(870) 732-4791,2022-07-14,Certification - Export; Identification - Poultry,,35,3502,Small,35.125332109223,-90.230240947674,Crittenden County,05035
123029,V18441,"Americold Logistics, Inc.",,1634 Midland Blvd ,Fort Smith,AR,72901,(479) 782-0318,2017-04-17,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3505,N / A,35.396439905929,-94.409149249275,Sebastian County,05131
6163945,V48313,"Americold Logistics, LLC",,1400 Gregory Street ,North Little Rock,AR,72114,(501) 435-3900,2020-07-17,Certification - Export,,35,3514,Large,34.768427528799,-92.245707284774,Pulaski County,05119
3914,V18802,"Americold Logistics, LLC",,500 SR 324 South ,Russellville,AR,72802,(479) 967-3898,2021-02-02,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3520,N / A,35.271737051789,-93.093371164563,Pope County,05115
123021,V3504,"Americold Logistics, LLC",,8425 Hwy 45 South ,Fort Smith,AR,72916,(479) 646-7757,2019-07-15,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3505,N / A,35.304660077814,-94.38039957284,Sebastian County,05131
3912,V18707,"Americold Logistics, LLC",,515 N. Bloomington ,Lowell,AR,72745,(479) 659-3000,2021-10-19,Certification - Export; Identification - Meat; Identification - Poultry; Off-Premise Freezing - Egg Products; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,35,3512,N / A,36.262906699564,-94.135223624359,Benton County,05007
